,regiao_geografica,regional_de_saude,municipio,tipo_da_instituicao,sigla_da_instituicao,nome_da_instituicao,cnpj_da_instituicao,cnpj_do_escritorio_regional_local,tipo_da_forma_de_abastecimento,codigo_forma_de_abastecimento,nome_da_forma_de_abastecimento,nome_da_eta_uta,data_de_registro,data_de_preenchimento_do_relatorio_semestral,data_da_coleta,data_da_analise,uf,ano,semestre,substancia,grupo,lq,ld,vmp,resultado,tipo_resultado,consistencia,pt_monitoramento,atendimento_ao_padrao,tipo_cor
174,CENTRO-OESTE,REGIONAL OESTE II,CORREGO DO OURO,Empresa Estadual,SANEAGO,SANEAMENTO DE GOIAS SA,1616929000102.0,1616929000102.0,SAA,S520570000001,SISTEMA CORREGO DO OURO,,12/08/2019,06/08/2018,12/03/2018,13/03/2018,GO,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"0,00035","0,00012",0.1,"9,924",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
175,NORDESTE,LAGARTO,RIACHAO DO DANTAS,Empresa Estadual,DESO,COMPANHIA DE SANEAMENTO DE SERGIPE,13018171000190.0,13018171000190.0,SAA,S280350000001,ETA LAGARTO,,04/09/2019,04/09/2019,30/07/2018,30/08/2018,SE,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,001",,0.1,"0,213",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
176,SUDESTE,ITUITABA,CAMPINA VERDE,Empresa Estadual,COPASA,COMPANHIA DE SANEAMENTO DE MINAS GERAIS,17281106000103.0,17281106000103.0,SAA,S311110000004,ESTAÇÃO DE TRATAMENTO DE ÁGUA,ESTAÇÃO DE TRATAMENTO DE ÁGUA,06/06/2019,01/03/2019,13/08/2018,31/08/2018,MG,2018,2,Arsênio,Substâncias Inorgânicas,,"0,00300",0.01,"0,01014",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
177,SUDESTE,ITUITABA,CENTRALINA,Empresa Estadual,COPASA,COMPANHIA DE SANEAMENTO DE MINAS GERAIS,17281106000103.0,17281106000103.0,SAA,S311580000001,MISTO SUPERFICIAL PROFUNDO,MISTO SUPERFICIAL PROFUNDO,21/03/2019,18/03/2019,20/08/2018,03/10/2018,MG,2018,2,Cádmio,Substâncias Inorgânicas,,"0,00200",0.005,"0,200",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
178,NORDESTE,15 REGIONAL DE SAUDE CRATEUS,ARARENDA,Empresa Estadual,CAGECE,COMPANHIA DE AGUA E ESGOTO DO CEARA,7040108000157.0,7040108000157.0,SAA,S230125000001,CAGECE ARARENDA,ETA DE ARARENDÁ,06/09/2018,06/09/2018,20/06/2018,21/06/2018,CE,2018,1,Nitrato (como N),Substâncias Inorgânicas,"0,10","0,01",10.0,"13,48",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
179,NORDESTE,15 REGIONAL DE SAUDE CRATEUS,CRATEUS,Empresa Estadual,CAGECE,COMPANHIA DE AGUA E ESGOTO DO CEARA,7040108000157.0,7040108000157.0,SAA,S230410000001,CAGECE CRATEUS,ETA POTY,05/09/2018,05/09/2018,05/12/2018,06/12/2018,CE,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,0030","0,0005",0.1,"0,3",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
180,NORDESTE,15 REGIONAL DE SAUDE CRATEUS,MONSENHOR TABOSA,Empresa Estadual,CAGECE,COMPANHIA DE AGUA E ESGOTO DO CEARA,7040108000157.0,7040108000157.0,SAA,S230860000001,CAGECE MONSENHOR TABOSA,ETA MONSENHOR TABOSA,06/09/2018,06/09/2018,23/05/2018,24/05/2018,CE,2018,1,Nitrato (como N),Substâncias Inorgânicas,"0,10","0,010",10.0,"23,15",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
181,NORDESTE,15 REGIONAL DE SAUDE CRATEUS,QUITERIANOPOLIS,Empresa Estadual,CAGECE,COMPANHIA DE AGUA E ESGOTO DO CEARA,7040108000157.0,7040108000157.0,SAA,S231126000001,CAGECE QUITERIANOPOLIS,ETA QUITERIANOPOLIS,13/02/2019,13/02/2019,12/09/2018,14/09/2018,CE,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,0030","0,0005",0.1,"0,2",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
182,SUL,16 RS - APUCARANA,CALIFORNIA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410350000001,CALIFORNIA UT0611,UT VARGINHA,24/01/2019,09/07/2018,10/01/2018,26/01/2018,PR,2018,1,"2, 4, 6 Triclorofenol",Subprodutos da desinfecção,"0,8","0,008",0.2,"0,8",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
183,SUL,16 RS - APUCARANA,CALIFORNIA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410350000001,CALIFORNIA UT0611,UT VARGINHA,24/01/2019,09/01/2019,03/10/2018,30/10/2018,PR,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"80,0000","8,0",0.08,"80,0000",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
184,NORDESTE,01 REGIONAL DE SAUDE FORTALEZA,FORTALEZA,Empresa Estadual,CAGECE,COMPANHIA DE AGUA E ESGOTO DO CEARA,7040108000157.0,7040108000157.0,SAA,S230440000002,SISTEMA GAVIAO,ESTAÇÃO GAVIAO,15/01/2019,15/01/2019,01/03/2018,01/03/2018,CE,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"0,04","0,004",0.1,"0,84",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
185,SUL,01 RS - PARANAGUA,GUARATUBA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410960000001,GUARATUBA UT1151,UT 1151,31/01/2019,10/01/2019,09/07/2018,31/07/2018,PR,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"2,3900",,0.1,"2,3900",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
186,SUL,01 RS - PARANAGUA,MORRETES,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S411620000001,MORRETES UT1751,UT 1751,06/09/2018,30/07/2018,03/04/2018,28/04/2018,PR,2018,1,"2, 4, 6 Triclorofenol",Subprodutos da desinfecção,10,,0.2,10,QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
187,SUL,02 RS - CURITIBA,AGUDOS DO SUL,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410030000001,QUEIMADOS UT 5361,UT 5361,10/01/2018,10/01/2018,10/04/2018,28/04/2018,PR,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"2,0000",,0.1,"2,0000",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
188,SUL,02 RS - CURITIBA,CAMPO DO TENENTE,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410410000001,CAMPO DO TENENTE UT0661,UT 0661,03/08/2018,06/07/2018,28/06/2018,29/06/2018,PR,2018,1,"2, 4, 6 Triclorofenol",Subprodutos da desinfecção,"10,0000",,0.2,"10,0000",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
189,SUL,02 RS - CURITIBA,CERRO AZUL,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410520000001,CERRO AZUL UT0731,UT 0731,23/01/2019,09/01/2019,11/12/2018,26/12/2018,PR,2018,2,"2, 4, 6 Triclorofenol",Subprodutos da desinfecção,8,,0.2,8,QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
190,SUL,02 RS - CURITIBA,CERRO AZUL,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410520000001,CERRO AZUL UT0731,UT 0731,23/01/2019,09/01/2019,12/12/2018,26/12/2018,PR,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,8,,0.08,8,QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
191,SUL,02 RS - CURITIBA,CERRO AZUL,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410520000001,CERRO AZUL UT0731,UT 0731,23/01/2019,09/01/2019,20/11/2018,30/11/2018,PR,2018,2,Pendimetalina,Agrotóxicos,25,1,20.0,25,QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
192,SUL,02 RS - CURITIBA,CERRO AZUL,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410520000001,CERRO AZUL UT0731,UT 0731,23/01/2019,09/01/2019,20/11/2018,30/11/2018,PR,2018,2,"1,2 Dicloroeteno (cis + trans)",Substâncias Orgânicas,10000,5000,50.0,10000,QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
193,SUL,02 RS - CURITIBA,CERRO AZUL,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410520000001,CERRO AZUL UT0731,UT 0731,23/01/2019,09/01/2019,20/11/2018,30/11/2018,PR,2018,2,Cobre,Substâncias Inorgânicas,50,1,2.0,50,QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
194,SUL,02 RS - CURITIBA,CERRO AZUL,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410520000001,CERRO AZUL UT0731,UT 0731,23/01/2019,09/01/2019,20/11/2018,30/11/2018,PR,2018,2,Níquel,Substâncias Inorgânicas,100,2,0.07,100,QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
195,SUL,02 RS - CURITIBA,RIO NEGRO,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S412230000003,RIO NEGRO UT0221,UT 0221,18/02/2019,09/01/2018,05/11/2018,27/11/2018,PR,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"2,0000",,0.1,"2,0000",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
196,SUL,04 RS - IRATI,IMBITUVA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S411010000003,IMBITUVA UT0181,UT 0181,22/08/2018,30/07/2018,19/02/2018,29/03/2018,PR,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"10,0000",,0.1,"10,0000",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
197,SUL,04 RS - IRATI,IMBITUVA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S411010000003,IMBITUVA UT0181,UT 0181,29/01/2019,07/01/2019,13/08/2018,29/08/2018,PR,2018,2,"2, 4, 6 Triclorofenol",Subprodutos da desinfecção,"10,0000",,0.2,"10,0000",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
198,SUL,04 RS - IRATI,TEIXEIRA SOARES,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S412700000001,GUARAUNA UT4571,UT 4571,05/02/2018,05/01/2018,09/01/2018,31/01/2018,PR,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"8,0000",,0.08,"8,0000",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
199,SUDESTE,PATOS DE MINAS,VAZANTE,Empresa Estadual,COPASA,COMPANHIA DE SANEAMENTO DE MINAS GERAIS,17281106000103.0,17281106000103.0,SAA,S317100000002,SISTEMA DE ABASTECIEMNTO DE ÁGUA DE CLARO DE MINAS/VAZANTE,ETA CONVENCIONAL CLARO DE MINAS/VAZANTE,07/02/2020,05/02/2020,12/11/2018,19/11/2018,MG,2018,2,Mercúrio,Substâncias Inorgânicas,,"0,000200",0.001,"0,00200",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
200,SUL,07 RS - PATO BRANCO,SAUDADE DO IGUACU,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S412627000001,SAUDADE DO IGUACU UT3721,ETA SAUDADE DO IGUAÇU,17/08/2018,08/08/2018,06/02/2018,27/02/2018,PR,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"1,0000",,0.1,"3,7620",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
201,SUL,09 RS - FOZ DO IGUACU,MEDIANEIRA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S411580000001,MEDIANEIRA UT1711,UT 1711,03/08/2018,13/07/2018,13/03/2018,31/03/2018,PR,2018,1,"2, 4, 6 Triclorofenol",Subprodutos da desinfecção,"200,000",,0.2,"200,0000",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
202,SUL,09 RS - FOZ DO IGUACU,SAO MIGUEL DO IGUACU,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S412570000003,SAO JORGE UT7201,UT 7201,27/07/2018,13/07/2018,26/06/2018,29/06/2018,PR,2018,1,"2, 4, 6 Triclorofenol",Subprodutos da desinfecção,"200,00",,0.2,"200,00",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
203,SUL,10 RS - CASCAVEL,QUEDAS DO IGUACU,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S412090000001,QUEDAS DO IGUACU UT0671,UT 0671,23/08/2018,15/08/2018,12/03/2018,03/04/2018,PR,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,08",,0.08,"80,0000",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
204,NORTE,MEDIO NORTE ARAGUAIA,GOIATINS,Empresa Estadual,SANEATINS,COMPANHIA DE SANEAMENTO DO TOCANTINS,25089509000183.0,25089509000183.0,SAA,S170900000001,OAS ALTO LINDO,ETA 001,29/01/2019,29/01/2019,16/05/2018,22/05/2018,TO,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,073",,0.08,"0,129",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
205,CENTRO-OESTE,REGIONAL OESTE I,ARAGARCAS,Empresa Estadual,SANEAGO,SANEAMENTO DE GOIAS SA,1616929000102.0,1616929000102.0,SAA,S520170000001,SANEAGO DE ARAGARCAS,SANEAGO DE ARAGARCAS,25/04/2019,17/01/2019,09/08/2018,10/08/2018,GO,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,00035","0,00012",0.1,"2,979",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
206,CENTRO-OESTE,REGIONAL OESTE II,FIRMINOPOLIS,Empresa Estadual,SANEAGO,SANEAMENTO DE GOIAS SA,1616929000102.0,1616929000102.0,SAA,S520780000001,SISTEMA FIRMINOPOLIS,ETA DE FIRMINOPOLIS,01/11/2018,07/08/2018,05/02/2018,23/05/2018,GO,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"0,00035","0,00012",0.1,"5,783",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
207,CENTRO-OESTE,REGIONAL OESTE II,TURVANIA,Empresa Estadual,SANEAGO,SANEAMENTO DE GOIAS SA,1616929000102.0,1616929000102.0,SAA,S522150000001,SISTEMA TURVANIA,TURVANIA,14/09/2018,08/08/2018,05/02/2018,06/02/2018,GO,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"0,00035","0,00012",0.1,"6,481",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
208,CENTRO-OESTE,REGIONAL SUDOESTE II,DOVERLANDIA,Empresa Estadual,SANEAGO,SANEAMENTO DE GOIAS SA,1616929000102.0,1616929000102.0,SAA,S520725000001,DOVERLANDIA,ETA DOVERLANDIA,03/09/2018,30/06/2018,23/01/2018,24/01/2018,GO,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"0,00035","0,00012",0.1,"4,3308",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
209,CENTRO-OESTE,REGIONAL SUDOESTE II,SANTA RITA DO ARAGUAIA,Empresa Estadual,SANEAGO,SANEAMENTO DE GOIAS SA,1616929000102.0,1616929000102.0,SAA,S521940000001,SANTA RITA DO ARAGUAIA,ETA SANTA RITA DO ARAGUAIA,16/01/2019,09/01/2019,09/07/2018,10/07/2018,GO,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,00035","0,00012",0.1,"2,366",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
210,SUDESTE,GVS VIII - MOGI DAS CRUZES,SALESOPOLIS,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517061995.0,SAA,S354500000001,ETA SALESÓPOLIS,ETA SALESÓPOLIS,01/02/2019,31/01/2019,04/12/2018,11/12/2018,SP,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,1543",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
211,SUDESTE,GVS X - OSASCO,JUQUITIBA,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,16856974000101.0,SAA,S352620000005,POÇO BARNABES,POCO BARNABES,27/12/2018,27/12/2018,04/12/2018,20/12/2018,SP,2018,2,Arsênio,Substâncias Inorgânicas,"0,0028",,0.01,"0,0118",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
212,SUDESTE,GVS XVI - BOTUCATU E SGVS XVI AVARÉ,BOFETE,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517063858.0,SAA,S350690000001,SISTEMA BOFETE,ESTAÇÃO DE TRATAMENTO DE ÁGUA DE BOFETE,29/01/2019,28/01/2019,05/08/2018,15/08/2018,SP,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,0827",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
213,SUDESTE,GVS XXIII - REGISTRO,CAJATI,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,12580889000102.0,SAA,S350925000001,BARRAGEM BARRA DO AZEITE,BARRAGEM BARRA DO AZEITE,02/10/2018,30/08/2018,27/02/2018,08/03/2018,SP,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,16",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
214,SUDESTE,GVS XXIII - REGISTRO,ELDORADO,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517018127.0,SAA,S351480000001,ETA ELDORADO,ETA ELDORADO,20/03/2018,01/03/2018,24/04/2018,07/05/2018,SP,2018,1,Níquel,Substâncias Inorgânicas,"0,002",,0.07,"0,1",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
215,SUDESTE,GVS XXXII - ITAPEVA,GUAPIARA,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517016345.0,SAA,S351760000001,ETA CAPELA DO ALTO,ETA CAPELA DO ALTO,11/01/2019,11/01/2019,17/12/2018,28/12/2018,SP,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,0071",,0.1,"0,10738",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
216,SUL,22 RS - IVAIPORA,GODOY MOREIRA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410855000001,GODOY MOREIRA UT3191,UT 3191,26/03/2019,10/01/2019,21/11/2018,14/12/2018,PR,2018,2,"2, 4, 6 Triclorofenol",Subprodutos da desinfecção,"200,0000",,0.2,"200,0000",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
217,SUL,22 RS - IVAIPORA,MANOEL RIBAS,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S411450000001,MANOEL RIBAS UT1601,MANOEL RIBAS UT1601,18/01/2019,18/01/2019,10/09/2018,19/09/2018,PR,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"80,0000",,0.08,"80,0000",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
218,SUDESTE,GVS XIII - ASSIS,MARACAI,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517043407.0,SAA,S352880000003,SISTEMA SANTA CRUZ DA BOA VISTA,UTA P1,22/01/2019,10/01/2019,07/08/2018,10/10/2018,SP,2018,2,Chumbo,Substâncias Inorgânicas,"0,006",,0.01,"0,0745",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
219,NORDESTE,ITABAIANA,ITABAIANA,Empresa Estadual,DESO,COMPANHIA DE SANEAMENTO DE SERGIPE,13018171000190.0,13018171000190.0,SAA,S280290000003,ETA CAJAIBA,CAJAIBA,23/04/2019,23/04/2019,30/07/2018,31/08/2018,SE,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,001",,0.1,"0,125",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
220,CENTRO-OESTE,REGIONAL CENTRAL,ANICUNS,Empresa Estadual,SANEAGO,SANEAMENTO DE GOIAS SA,1616929000102.0,1616929000102.0,SAA,S520130000001,SISTEMA ANICUNS,SISTEMA ANICUNS,30/01/2019,08/01/2019,08/10/2018,09/10/2018,GO,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,00035","0,00012",0.1,"3,509",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
221,CENTRO-OESTE,REGIONAL CENTRAL,ARACU,Empresa Estadual,SANEAGO,SANEAMENTO DE GOIAS SA,1616929000102.0,1616929000102.0,SAA,S520160000001,ETA DE ARACU,ETA DE ARACU,24/04/2019,14/12/2018,09/08/2018,09/08/2018,GO,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,00035","0,00012",0.1,"14,78",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
222,CENTRO-OESTE,REGIONAL ENTORNO NORTE,ALTO PARAISO DE GOIAS,Empresa Estadual,SANEAGO,SANEAMENTO DE GOIAS SA,1616929000102.0,1616929000102.0,SAA,S520060000001,ALTO PARAISO,ALTO PARAISO,20/03/2018,05/08/2017,05/06/2018,06/06/2018,GO,2018,1,Endrin,Agrotóxicos,"0,3","0,1",0.6,"1,012",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
223,CENTRO-OESTE,REGIONAL ENTORNO NORTE,FORMOSA,Empresa Estadual,SANEAGO,SANEAMENTO DE GOIAS SA,1616929000102.0,1616929000102.0,SAA,S520800000001,FORMOSA,ETA FORMOSA,10/05/2018,11/08/2017,04/04/2018,04/04/2018,GO,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"0,00035","0,00012",0.1,"8,9412",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
224,CENTRO-OESTE,REGIONAL ENTORNO NORTE,FORMOSA,Empresa Estadual,SANEAGO,SANEAMENTO DE GOIAS SA,1616929000102.0,1616929000102.0,SAA,S520800000006,PARQUE DA COLINA,PARQUE DA COLINA,05/02/2019,04/01/2018,20/11/2018,21/11/2018,GO,2018,2,Bário,Substâncias Inorgânicas,"0,006027","0,002009",0.7,"0,85372",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
225,SUL,18 RS - CORNELIO PROCOPIO,LEOPOLIS,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S411340000001,LEOPOLIS UT1501,UT 1501,20/09/2018,20/09/2018,10/04/2018,10/04/2018,PR,2018,1,Permetrina,Agrotóxicos,"60,0000","0,0002",20.0,"60,0000",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
226,NORDESTE,17 REGIONAL DE SAUDE ICO,UMARI,Empresa Estadual,CAGECE,COMPANHIA DE AGUA E ESGOTO DO CEARA,7040108000157.0,7040108000157.0,SAA,S231370000001,SISTEMA UMARI,ETA UMARI,27/02/2019,27/02/2019,26/03/2018,27/03/2018,CE,2018,1,Nitrato (como N),Substâncias Inorgânicas,"0,10","0,01",10.0,"13,02",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
227,SUL,12ª REGIONAL DE SAÚDE- RIO DO SUL,SANTA TEREZINHA,Empresa Estadual,CASAN,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO,82508433000117.0,82508433007715.0,SAA,S421567000003,ETA SANTA TEREZINHA,ETA SANTA TEREZINHA,15/10/2018,15/10/2018,18/09/2018,26/09/2018,SC,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,043",,0.08,"0,106",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
228,SUL,15ª REGIONAL DE SAÚDE- BLUMENAU,INDAIAL,Empresa Estadual,CASAN,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO,82508433000117.0,82508433007715.0,SAA,S420750000001,SAA INDAIAL,ETA INDAIAL,23/07/2018,23/07/2018,26/03/2018,05/04/2018,SC,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,038",,0.08,"0,089",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
229,SUL,18ª REGIONAL DE SAÚDE- GRANDE FLORIANÓPOLIS,ALFREDO WAGNER,Empresa Estadual,CASAN,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO,82508433000117.0,82508433000460.0,SAA,S420070000001,ETA ALFREDO WAGNER,ETA ALFREDO WAGNER,19/07/2018,29/06/2018,27/06/2018,10/07/2018,SC,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,038",,0.08,"0,087",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,2
